brand,product_name,product_url,image_url,product_price,description,metadata,metadata_features
Zara,ZW COLLECTION EMBROIDERED ASYMMETRIC SKIRT,https://www.zara.com/in/en/zw-collection-embroidered-asymmetric-skirt-p06895955.html,https://static.zara.net/stdstatic/6.63.0/images/transparent-background.png,8550.0,"Model height: 178 cm | Size: S

ZARA WOMAN COLLECTION

High-waist midi skirt made of viscose yarn. Embroidered detail with bead embellishments. Asymmetric hem. Concealed zip fastening.","{""product_color"": ""GREY""}",GREY
Zara,DRAPED LACE TOP WITH DIAMANTES,https://www.zara.com/in/en/draped-lace-top-with-diamantes-p04813338.html,https://static.zara.net/assets/public/21b1/e5ba/e36a4665ae7a/31af38c568e9/04813338942-p/04813338942-p.jpg?ts=1743604201233&w=1056,2350.0,"Model height: 160 cm | Size: S

Semi-sheer top with an asymmetric neckline and sleeves. Gathered detail. Featuring contrasting diamante appliqués and a matching lining.","{""product_color"": ""BEIGE-PINK""}",BEIGE-PINK
Zara,PRINTED SHIRT,https://www.zara.com/in/en/printed-shirt-p05029092.html,https://static.zara.net/assets/public/7cae/14df/1edd4905a941/dac26bf7edf7/05029092069-p/05029092069-p.jpg?ts=1743095849249&w=1056,3550.0,"Model height: 175 cm

Shirt made with 12% linen. Lapel collar and long sleeves with cuffs. Concealed button-up front with placket.","{""product_color"": ""ECRU / GREEN""}",ECRU / GREEN
Zara,ZW COLLECTION RUFFLED DRESS,https://www.zara.com/in/en/zw-collection-ruffled-dress-p02959209.html,https://static.zara.net/assets/public/7bf0/25f3/d8d648239697/98876dd514dd/02959209520-p/02959209520-p.jpg?ts=1743072589334&w=1056,5950.0,"Model height: 180 cm | Size: S

ZARA WOMAN COLLECTION

Midi dress made from a viscose and cotton blend yarn. Featuring a round neck, short sleeves, a frayed, ruffled hem and side slits.","{""product_color"": ""LIME""}",LIME
Zara,MID-RISE WIDE-LEG TRF JEANS,https://www.zara.com/in/en/mid-rise-wide-leg-trf-jeans-p08197035.html,https://static.zara.net/assets/public/611e/c68c/3e8c489aaa51/4bd835d1d330/08197035406-p/08197035406-p.jpg?ts=1743171364864&w=1056,4350.0,"MID-RISE - WIDE-LEG - FULL LENGTH

Mid-rise jeans with five pockets. Extra-long wide legs. Front zip fly and metal button fastening.","{""product_color"": ""LIGHT BLUE""}",LIGHT BLUE
Zara,ZW COLLECTION LIMITED EDITION 100% SUEDE TROUSERS,https://www.zara.com/in/en/zw-collection-limited-edition-100-suede-trousers-p01966049.html,https://static.zara.net/assets/public/9705/bb8f/5a0d4040aa64/9afd62662394/01966049700-p/01966049700-p.jpg?ts=1743334654069&w=1056,29950.0,"Model height: 179 cm | Size: S

ZARA WOMAN COLLECTION

Trousers made of 100% suede. Mid-waist fit with belt loops. Five pockets. Zip fly with metal hook and top button fastening.","{""product_color"": ""BROWN""}",BROWN
Zara,DENIM TRF OVERSHIRT WITH RIPS,https://www.zara.com/in/en/denim-trf-overshirt-with-rips-p08197076.html,https://static.zara.net/assets/public/4dbc/3c02/b4804d38a412/7a919a457495/08197076406-p/08197076406-p.jpg?ts=1742992146875&w=1056,4350.0,"Model height: 178 cm | Size: M

Overshirt with an open neckline. Long sleeves with cuffs. Chest patch pockets. Ripped detail. Self-tie belt.","{""product_color"": ""LIGHT BLUE""}",LIGHT BLUE
Zara,PATCHWORK PRINT WIDE-LEG TROUSERS,https://www.zara.com/in/en/patchwork-print-wide-leg-trousers-p02853244.html,https://static.zara.net/assets/public/9d20/f20c/478c49ab9f7c/fb35d83bd4eb/02853244330-p/02853244330-p.jpg?ts=1743003993750&w=1056,3550.0,"Model height: 177 cm | Size: S

High-waist trousers with elasticated waistband at the back. Front pockets. Wide leg. Zip fly and inside button fastening with hook.","{""product_color"": ""MULTICOLOURED""}",MULTICOLOURED
Zara,ASYMMETRIC GATHERED STRETCH TOP,https://www.zara.com/in/en/asymmetric-gathered-stretch-top-p06050319.html,https://static.zara.net/assets/public/5fa4/3005/2c834a7daed1/62e55ede0fc5/06050319982-p/06050319982-p.jpg?ts=1743171270174&w=1056,1950.0,Stretch top. V-neck and adjustable halter straps. Gathered detail on the side. Asymmetric hem.,"{""product_color"": ""SEA GREEN""}",SEA GREEN
Zara,LINEN BLAZER WITH ROLLED-UP SLEEVES,https://www.zara.com/in/en/linen-blazer-with-rolled-up-sleeves-p02753230.html,https://static.zara.net/stdstatic/6.63.0/images/transparent-background.png,4950.0,"Model height: 178 cm

Open blazer made of linen. Featuring a lapel collar, shoulder pads, sleeves falling below the elbow with contrasting lining and front flap pockets.","{""product_color"": ""INDIGO""}",INDIGO
